Permit Number,Permit Type,Permit Sub-Type,Address,Status,Project Type,Valuation,Parcel Number,Date Entered,Date Issued,Date Completed,Date Expired,Date Renewed,Class Code,Class Code Description,Class Code Section,Number of Units,Permit Type Code
05STP1228,SINGLE TRADE PERMIT,Plaster,"1356 SUNSET AVE
SANTA MONICA, CA 90405
(34.00748578300045, -118.46726452899969)",PENDING,UNDEFINED,$4080.00,4285033010,10/07/2005,10/07/2005,,04/11/2007,,438,Residential Garages & Carports (Attached or Not),Section IV - Additions & Alterations,,Commercial
07STP0339,SINGLE TRADE PERMIT,Plaster,"855 FRANKLIN ST
SANTA MONICA, CA 90403
(34.04489772700049, -118.4776754879997)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$3500.00,4266003023,03/15/2007,03/15/2007,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
08CBP1110,COMBINATION PERMIT,Building Combo,"1048 CHELSEA AVE
SANTA MONICA, CA 90403
(34.036398405000455, -118.48112922699971)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4277020007,11/24/2008,01/06/2014,,07/05/2015,01/06/2014,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
08STP0233,SINGLE TRADE PERMIT,,"528 25TH ST
SANTA MONICA, CA 90402
(34.04286764900047, -118.48716853099972)",PENDING,UNDEFINED,$50000.00,4278009008,02/13/2008,02/13/2008,,01/01/1900,,,,,,Commercial
08STP0282,SINGLE TRADE PERMIT,,"202 21ST PL
SANTA MONICA, CA 90402
(34.045178433000444, -118.49656800499969)",PENDING,UNDEFINED,$0.00,4278026011,02/22/2008,02/22/2008,,01/01/1900,,,,,,Commercial
08STP1156,SINGLE TRADE PERMIT,,"1212 3RD STREET PROM
SANTA MONICA, CA 90010
",PENDING,UNDEFINED,$0.00,4291002002,07/21/2008,07/21/2008,,01/01/1900,,,,,,Commercial
08STP1516,SINGLE TRADE PERMIT,Plumbing,"1317 18TH ST
SANTA MONICA, CA 90401
(34.028063715000485, -118.48295084799969)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$6500.00,4276029020,09/17/2008,09/17/2008,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
08STP1878,SINGLE TRADE PERMIT,Irrigation,"913 20TH ST
SANTA MONICA, CA 90403
(34.03512279500046, -118.48752977599969)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4277012015,11/11/2008,11/11/2008,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
08STP1982,SINGLE TRADE PERMIT,Sign,"1541 OCEAN AVE
SANTA MONICA, CA 00000
",PENDING,NEW COMMERCIAL CONSTRUCTION,$6500.00,4291028017,12/01/2008,12/01/2008,,01/01/1900,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,,Commercial
08STP2038,SINGLE TRADE PERMIT,Electrical,"1903 OLYMPIC BLVD
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$20000.00,4275025012,12/08/2008,12/08/2008,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
09STP0370,SINGLE TRADE PERMIT,Sign,"1551 OCEAN AVE
SANTA MONICA, CA 90401
(34.01161345000048, -118.49512065699969)",PENDING,NEW COMMERCIAL CONSTRUCTION,$1600.00,4291028017,03/06/2009,03/06/2009,,01/01/1900,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,,Commercial
09STP0786,SINGLE TRADE PERMIT,,,PENDING,UNDEFINED,$0.00,4266001055,05/08/2009,05/08/2009,,01/01/1900,,,,,,Commercial
09STP0856,SINGLE TRADE PERMIT,Plumbing,"824 LINCOLN BLVD
SANTA MONICA, CA 90403
(34.02705815000047, -118.50026928499972)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1000.00,4292001006,05/21/2009,05/21/2009,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
09STP1005,SINGLE TRADE PERMIT,Electrical,,PENDING,NEW COMMERCIAL CONSTRUCTION,$0.00,4291011903,06/19/2009,06/19/2009,,01/01/1900,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,,Commercial
09STP1069,SINGLE TRADE PERMIT,Demolition,,PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2000.00,,07/02/2009,07/02/2009,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
09STP1177,SINGLE TRADE PERMIT,Other,"1818 LINCOLN BLVD
SANTA MONICA, CA 90404
(34.01338769500046, -118.48427857099972)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$13600.00,4290004024,07/17/2009,07/17/2009,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
09STP1586,SINGLE TRADE PERMIT,Sign,"1123 MONTANA AVE
SANTA MONICA, CA 91302
",PENDING,NEW COMMERCIAL CONSTRUCTION,$100.00,4280025017,09/25/2009,09/25/2009,,01/01/1900,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,,Commercial
09STP1622,SINGLE TRADE PERMIT,Demolition,,PENDING,UNDEFINED,$10000.00,,10/02/2009,10/02/2009,,01/01/1900,,645,Demolish One-family Buildings,Section VI - Demolitions,,Commercial
10STP0069,SINGLE TRADE PERMIT,Plumbing,"2341 21ST ST
SANTA MONICA, CA 90405
(34.01666021900047, -118.46562648999969)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$425.00,4273017009,01/21/2010,01/21/2010,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
10STP0427,SINGLE TRADE PERMIT,Plumbing,"2446 26TH ST
SANTA MONICA, CA 90405
(34.01953122800046, -118.4595327029997)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2500.00,4270011037,03/31/2010,03/31/2010,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
10STP0839,SINGLE TRADE PERMIT,Plumbing,"2709 SANTA MONICA BLVD
SANTA MONICA, CA 93063
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$500.00,4267009022,06/10/2010,06/10/2010,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
