Ledger Type,Cost Center Type,Fund ID,Fund Name,Department ID,Department Name,Division ID,Division Name,Object,Object Description,Revenue Category Code,Category code description,Fiscal Year,July,August,September,October,November,December,January,February,March,April,May,June
B1,IS,56,"Self-insur, General Liab/Auto",700,NON-DEPARTMENTAL,232,COMPREHENSIVE,522050,MEDICAL EXAMS,, Supplies and Expenses,2013,50000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,120,RECORDS & ELECTION SERVICES,211,R & ES(CITY CLERK)-ADMIN,511000,PERMANENT EMPLOYEES,804,Salaries and Wages,2013,729749,0,0,0,0,0,0,7297,0,0,0,0
B1,IS,01,General Fund,120,RECORDS & ELECTION SERVICES,211,R & ES(CITY CLERK)-ADMIN,522720,MILEAGE,804, Supplies and Expenses,2013,250,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,120,RECORDS & ELECTION SERVICES,211,R & ES(CITY CLERK)-ADMIN,533020,GENERAL LIABILITY / AUTO,804, Supplies and Expenses,2013,6683,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,120,RECORDS & ELECTION SERVICES,211,R & ES(CITY CLERK)-ADMIN,544010,SPECIAL DEPARTMENT SUPPLIES,804, Supplies and Expenses,2013,3000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,120,RECORDS & ELECTION SERVICES,214,R & ES(CITY CLERK)-SUPP SCVS,533110,SPECIAL EQUIPMENT-OPER SUPS,804, Supplies and Expenses,2013,70000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,264,HOUSING,511000,PERMANENT EMPLOYEES,816,Salaries and Wages,2013,60000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,263,ADMINISTRATION & REDEVELOPMENT,401150,MALL ASSESSMENT DISTRICT,622,Other,2013,-1133116,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,263,ADMINISTRATION & REDEVELOPMENT,401920,FARMERS' MARKET,622,Other,2013,-861000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,264,HOUSING,401180,DISP COUNSELING FEE,612,Charges for Service,2013,-5000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,20,Miscellaneous Grants Fund,620,HOUSING & ECONOMIC DEVELOPMENT,264,HOUSING,404950,HOME INVESTMENT PARTNERSHIPS,610,Intergovernmental,2013,-461670,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,300,POLICE,304,ADMINISTRATIVE SERVICES DIV,400730,CA VEHICLE CODE FINES,614,Fines and Forfeitures,2013,-500000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,210,PLANNING & COMM. DEVELOPMENT,321,BUILDING AND SAFETY,400370,RESIDENTIAL BLDG REPORT,612,Charges for Service,2013,-165000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,140,CITY ATTORNEY,231,CITY ATTORNEY,522610,EQUIPMENT RENTAL,804, Supplies and Expenses,2013,7500,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,140,CITY ATTORNEY,231,CITY ATTORNEY,544040,BOOKS / PAMPHLETS,804, Supplies and Expenses,2013,135000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,263,ADMINISTRATION & REDEVELOPMENT,511000,PERMANENT EMPLOYEES,816,Salaries and Wages,2013,407012,0,0,0,0,0,0,4070,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,264,HOUSING,511490,OVERTIME,816,Salaries and Wages,2013,1868,0,0,0,0,0,0,19,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,264,HOUSING,522130,UTILITIES - WATER,816, Supplies and Expenses,2013,13668,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,620,HOUSING & ECONOMIC DEVELOPMENT,264,HOUSING,533120,SPECIAL EQUIP MAINT,816, Supplies and Expenses,2013,5000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,210,PLANNING & COMM. DEVELOPMENT,416,TRANS ENGINEERING & MGMT,555210,TRAINING,816, Supplies and Expenses,2013,4000,0,0,0,0,0,0,0,0,0,0,0
B1,IS,01,General Fund,400,COMMUNITY & CULTURAL SERVICES,501,ADMINISTRATION & PLANNING SVCS,511490,OVERTIME,810,Salaries and Wages,2013,2497,0,0,0,0,0,0,25,0,0,0,0
B1,IS,11,Beach Recreation Fund,400,COMMUNITY & CULTURAL SERVICES,522,BEACH ADMINISTRATION,555010,CONTRACTUAL SERVICES,810, Supplies and Expenses,2013,25000,0,0,0,0,0,0,0,0,0,0,0
