Ledger Type,Cost Center Type,Fund Id,Fund Description,Expenditure Category Id,Expenditure Category Description,Project ID,Project Description,Fiscal year,July,August,September,October,November,December,January,February,March,April,May,June
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,0071,EMERGENCY OPERATIONS CENTER   ,13,4197.11,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,0081,PERCENT FOR ARTS              ,13,312703.64,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,0162,TENANT IMPROVEMENTS           ,13,1686758.84,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,0170,FIRE APPARATUS REPLACEMENT    ,13,1645149.66,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0222,BIKE NTWK LINKS TO EXPO       ,13,30115,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,0326,PARKING CAMERA ENFORCEMENT    ,13,385000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0356,STREET RESURFACING-MITIGATION ,13,0,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,0362,CASHIERING SYSTEM             ,13,115069.3,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0407,TRAFFIC SIGNAL LED REPLACEMENT,13,142620.89,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0454,COASTAL CIRC & PKG IMPROVEMTS ,13,34500,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0456,CROSSWALK IMPROVEMENTS        ,13,413716.09,0,0,0,0,0,0,0,0,0,0,0
