approximate address,intersection,location description,status,location
2612 MAIN ST,Ocean Park Blvd & Main St,SW traffic signal on Ocean Park Blvd & Main St,Existing,"(34.00214264, -118.48386424)"
2626 CLOVERFIELD BLVD,OCEAN PARK BLVD & CLOVERFIELD BLVD,SE traffic signal on Ocean Park & Cloverfield Blvd,Existing,"(34.01591668, -118.46072362)"
2470 OCEAN PARK BLVD,OCEAN PARK BLVD & 25TH ST,SW traffic signal on Ocean Park Blvd & 25th St,Existing,"(34.01717058, -118.45857115)"
2717 OCEAN PARK BLVD,Ocean Park Blvd & 28th St,NW traffic signal on Ocean Park Blvd & 28th St,Existing,"(34.01885200, -118.45605677)"
3200 OCEAN PARK BLVD,OCEAN PARK BLVD & 31ST ST,SE traffic signal on Ocean Park Blvd & 31st St,Existing,"(34.02081850, -118.45222622)"
1047 OCEAN PARK BLVD,Ocean Park Blvd & 11th St,NW traffic signal on Ocean Park Blvd & 11th St,Existing,"(34.00840448, -118.47392369)"
2601 14TH ST,Ocean Park Blvd & 14th St,SE traffic signal on Ocean Park Blvd & 14th St,Existing,"(34.01045492, -118.47009312)"
1818 OCEAN PARK BLVD,Ocean Park Blvd & 20th St,SE traffic signal on Ocean Park Blvd & 20th St,Existing,"(34.01374368, -118.46449656)"
1700 OCEAN PARK BLVD,Ocean Park Blvd & 17th St,SE traffic signal on Ocean Park Blvd & 17th St,Existing,"(34.01247477, -118.46674874)"
2625 NEILSON WAY,Ocean Park Blvd & Neilson Way,SE traffic signal on Ocean Park Blvd & Neilson Way,Existing,"(34.00189640, -118.48427857)"
2101 OCEAN PARK BLVD,OCEAN PARK BLVD & 21ST ST,NE traffic signal on Ocean Park Blvd & 21st St,Existing,"(34.01441728, -118.46361781)"
2225 OCEAN PARK BLVD,Ocean Park Blvd & 23rd St,NW traffic signal on Ocean Park Blvd & 23rd St,Existing,"(34.01539195, -118.46190539)"
2526 6TH ST,OCEAN PARK BLVD & 6TH ST,North side of pedestrian crossing on Ocean Park Blvd & 6th St,Existing,"(34.00498359, -118.47976869)"
2437 MAIN ST,2437 Main St,East side of pedestrian crossing signal,Existing,"(34.00347617, -118.48491695)"
2901 NEILSON WAY,2901 Neilson Way,NE traffic signal on Neilson & Ashland,Existing,"(33.99934497, -118.48180218)"
2675 NEILSON WAY,Neilson Way & Hill St,NE traffic signal on Neilson Way & Hill St,Existing,"(34.00067966, -118.48314167)"
3358 BARNARD WAY,Neilson Way & Marine St,SW traffic signal on Neilson Way & Marine St,Existing,"(33.99744464, -118.48014194)"
