Calendar Year Employed,Employment Type,Job Title,Division Name,Regular Pay,Overtime Pay,Lump-Sum Pay,Assignment and  Incentive Pay,Skill Pay,Outside Employer Pay,Other Pay,Retirement Contribution,City Paid Deferred Compensation,Health Benefits Average,Cash-in-Lieu of Medical Benefits,Total
2012,Permanent,Library Assistant II,Public and Branch Services,$28993.43,$0.00,$0.00,$352.00,$0.00,$0.00,$345.68,$7701.88,$300.04,$12348.35,,$50041.37
2012,Permanent,Library Assistant II,Library - Information Mgmt,$26480.40,$0.00,$0.00,$0.00,$300.00,$0.00,$265.85,$7026.99,$150.02,$12348.35,,$46571.60
2012,Permanent,Database Coordinator,Rent Control - Administration,$74153.24,$0.00,$1763.97,$0.00,$0.00,$0.00,$2450.06,$19462.24,$2189.98,$12348.35,,$112367.84
2012,Permanent,Library Assistant II,Public and Branch Services,$27484.66,$0.00,$1199.63,$696.00,$0.00,$0.00,$294.29,$7394.86,$300.04,$12348.35,,$49717.82
2012,Permanent,Civil Engineer-Spec Proj (A/N),Civil Engineering,$28258.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7436.06,,,,$35694.20
2012,Permanent,Risk Management Technician,Risk Management,$46482.47,$4189.64,$0.00,$0.00,$0.00,$0.00,$557.02,$12198.97,$325.00,$12348.35,,$76101.45
2012,Permanent,Community Svs Program Spec,Human Services - PAL,$39289.82,$1144.21,$1937.70,$1217.75,$0.00,$0.00,$458.26,$10631.14,$437.58,,$1800.00,$56916.46
2012,Permanent,Sr Admin Analyst,Economic Development,$87520.53,$0.00,$986.19,$0.00,$0.00,$0.00,$50.00,$22976.41,,$12348.35,,$123881.48
2012,Permanent,Librarian I,Reference Services,$37530.22,$0.00,$1852.50,$0.00,$0.00,$0.00,$50.00,$9849.68,,$12348.35,,$61630.74
2012,Permanent,Community Svs Program Spec,Community Recreation-Sports,$31431.87,$1312.26,$0.00,$707.20,$0.00,$0.00,$336.29,$8434.78,$360.10,$12348.35,,$54930.85
2012,Permanent,Farmers' Market Coordinator I,Farmers Market,$30858.91,$827.38,$1375.57,$0.00,$300.00,$0.00,$329.92,$8177.60,,$12348.35,,$54217.73
2012,Permanent,Sr Admin Analyst,Housing Services,$25448.39,$0.00,$29741.06,$0.00,$100.00,$0.00,$74.00,$6699.16,,$12348.35,,$74410.96
2012,Permanent,Community Svs Program Spec,Human Services - Sports,$31431.86,$86.95,$715.46,$0.00,$0.00,$0.00,$324.58,$8249.21,$360.10,$12348.35,,$53516.50
2012,Permanent,Hearing Examiner II,Rent Control - Hearings,$136132.87,$0.00,$0.00,$612.36,$0.00,$0.00,$6866.20,$37672.83,,$12348.35,,$193632.61
2012,Permanent,Event Attendant I,Civic Auditorium,$37733.17,$639.80,$1860.96,$158.25,$0.00,$0.00,$406.13,$9944.51,$479.96,$12348.35,,$63571.13
2012,Permanent,Executive Asst (Unclassified),City Council,$47549.40,$953.99,$180.39,$0.00,$0.00,$0.00,$497.33,$12479.21,$390.00,$12348.35,,$74398.67
2012,Permanent,Farmers' Market Coordinator I,Farmers Market,$30858.91,$0.00,$1404.83,$0.00,$0.00,$0.00,$293.13,$8098.84,$300.04,$12348.35,,$53304.09
2012,Permanent,Event Attendant II,Civic Auditorium,$55113.25,$638.21,$2718.00,$281.00,$0.00,$0.00,$946.63,$14538.19,$455.00,$12348.35,,$87038.63
2012,Permanent,Chief Pool Lifeguard,Community Recreation-Aquatics,$46094.79,$2241.05,$2209.07,$882.50,$0.00,$0.00,$715.45,$12328.90,,$12348.35,,$76820.10
2012,Permanent,Event Attendant I,Civic Auditorium,$37733.20,$971.15,$1860.96,$128.00,$0.00,$0.00,$405.73,$9936.59,,$12348.35,,$63383.98
2012,Permanent,Community Svs Program Spec,Human Services - Sports,$31431.90,$3120.40,$0.00,$333.75,$0.00,$0.00,$349.78,$8336.48,$360.10,$12348.35,,$56280.76
2012,Permanent,Event Attendant I,Civic Auditorium,$30108.40,$0.00,$0.00,$23.00,$0.00,$0.00,$300.61,$7902.10,$284.24,$12348.35,,$50966.69
2012,Permanent,Chief Pool Lifeguard,Community Recreation-Aquatics,$46094.76,$169.40,$517.77,$328.50,$0.00,$0.00,$523.69,$12183.68,$479.96,$12348.35,,$72646.11
2012,Permanent,Customer Services Assistant,Transit Gov & Cmty Relations,$43150.85,$0.00,$491.09,$0.00,$0.00,$0.00,$439.78,$11324.82,$455.83,$12348.35,,$68210.72
2012,Permanent,Event Attendant I,Civic Auditorium,$35311.60,$0.00,$0.00,$37.50,$0.00,$0.00,$354.83,$9276.23,$479.96,$12348.35,,$57808.47
2012,Permanent,Community Svs Program Spec,Human Services - CREST,$31431.88,$409.90,$119.24,$0.00,$0.00,$0.00,$371.04,$8249.21,$360.10,$12348.35,,$53289.72
2012,Permanent,Public Information Coordinator,Community & Govt Relations-Cbl,$9874.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2581.79,,,,$12455.93
2012,Permanent,Swim Instructor/Lifeguard,Community Recreation-Aquatics,$29860.31,$2622.94,$0.00,$0.00,$342.00,$0.00,$328.11,$7926.55,$342.16,$12348.35,,$53770.41
2012,Permanent,Deputy City Attorney III,City Attorney,$110967.94,$0.00,$5679.76,$0.00,$0.00,$0.00,$2087.59,$29674.22,,$12348.35,,$160757.85
2012,Permanent,Community Svs Program Spec,Community Recreation-Gym,$36670.49,$142.50,$1669.40,$1223.50,$0.00,$0.00,$393.59,$9945.18,,$12348.35,,$62393.01
2012,Permanent,Staff Assistant III,Human Services - VAP,$43789.14,$1694.39,$0.00,$0.00,$0.00,$0.00,$516.41,$11492.34,$450.06,$12348.35,,$70290.69
2012,Permanent,Community Svs Program Spec,Human Services - CREST,$31431.89,$77.01,$715.46,$0.00,$0.00,$0.00,$320.95,$8249.21,,$12348.35,,$53142.87
2012,Permanent,Traffic Services Officer,Special Services,$19638.93,$6332.10,$288.81,$0.00,$0.00,$0.00,$472.43,$5223.79,$184.64,$1123.02,$600.00,$33863.72
2012,Permanent,Community Svs Program Spec,Human Services - CREST,$29227.87,$0.00,$0.00,$0.00,$330.00,$0.00,$295.51,$7756.62,$332.40,$12348.35,,$50290.75
2012,Permanent,Aquatic Site Supervisor,Community Recreation-Aquatics,$33133.41,$3796.10,$2325.45,$266.75,$300.00,$0.00,$50.00,$8844.49,,$12348.35,,$61064.55
2012,Permanent,Staff Assistant III - R/C,Rent Control - Public Info,$40888.71,$0.00,$0.00,$0.00,$2061.37,$0.00,$2400.06,$11273.58,$1091.52,$1123.02,$1800.00,$60638.26
2012,Permanent,Librarian I,Reference Services,$31974.92,$0.00,$847.91,$0.00,$0.00,$0.00,$325.00,$8391.64,,$12348.35,,$53887.81
2012,Permanent,Sr Admin Analyst,Transit Finance and Grants,$13739.91,$0.00,$15261.33,$0.00,$0.00,$0.00,$0.00,$3617.86,,$12348.35,,$44967.44
2012,Permanent,Community Svs Program Spec,Human Services - VAP,$28172.88,$0.00,$0.00,$0.00,$0.00,$0.00,$266.64,$7384.30,,$12348.35,,$48172.17
2012,Permanent,Community Svs Program Spec,Human Services - CREST,$31431.84,$8855.98,$0.00,$942.50,$0.00,$0.00,$410.92,$8496.84,$212.94,$12348.35,,$62699.36
2012,Permanent,Community & Cult Svs Leader,Human Services - Sports,$11194.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2070.69,,,,$13265.63
2012,Permanent,Community Svs Program Spec,Human Services - CREST,$31431.84,$0.00,$0.00,$0.00,$0.00,$0.00,$314.10,$8249.20,$325.00,$12348.35,,$52668.49
2012,Permanent,Community Svs Program Spec,Human Services - VAP,$39289.82,$4.22,$0.00,$0.00,$0.00,$0.00,$417.26,$10311.51,$450.06,$12348.35,,$62821.21
2012,Permanent,Community Svs Program Spec,Human Services - CREST,$31431.85,$32.30,$136.63,$0.00,$0.00,$0.00,$315.11,$8249.20,$260.00,$12348.35,,$52773.44
2012,Permanent,Chief Pool Lifeguard,Community Recreation-Aquatics,$46094.81,$527.33,$1144.83,$99.00,$0.00,$0.00,$795.27,$12123.37,$479.96,$12348.35,,$73612.91
2012,Permanent,Swim Instructor/Lifeguard,Community Recreation-Aquatics,$29860.29,$3745.39,$878.43,$301.26,$0.00,$0.00,$402.15,$7915.55,,$12348.35,,$55451.41
2012,Permanent,Swim Instructor/Lifeguard,Community Recreation-Aquatics,$29860.29,$1782.19,$177.37,$622.25,$0.00,$0.00,$325.20,$7999.96,$218.40,$12348.35,,$53334.01
2012,Permanent,Community Svs Program Spec,Human Services - Sports,$31431.88,$0.00,$0.00,$0.00,$0.00,$0.00,$314.10,$8249.21,$321.10,$12348.35,,$52664.64
2012,Permanent,Community Svs Program Spec,Human Services - VAP,$39140.76,$24.84,$0.00,$0.00,$450.00,$0.00,$2695.14,$10390.40,$450.06,$12348.35,,$65499.55
2012,Permanent,Community Svs Program Spec,Community Recreation-Skate,$41909.19,$252.15,$50.93,$591.25,$0.00,$0.00,$426.16,$11154.12,,$12348.35,,$66732.15
2012,Permanent,Community Svs Program Spec,Human Services - Sports,$31431.92,$0.00,$715.46,$0.00,$0.00,$0.00,$323.82,$8249.22,$360.10,$12348.35,,$53428.87
