HydrantID,ValveID,Valve Angle,Longitude,Latitude,Location 1
4,1-14,274,-118.51090314,34.02337305,"(34.02337305, -118.51090314)"
10,4-251,90,-118.49296299,34.00842049,"(34.00842049, -118.49296299)"
11,4-249,90,-118.49365166,34.00907965,"(34.00907965, -118.49365166)"
12,4-234,270,-118.49281831,34.00948336,"(34.00948336, -118.49281831)"
13,4-247,90,-118.49444882,34.00983247,"(34.00983247, -118.49444882)"
14,4-296,270,-118.49504875,34.0102467,"(34.01024670, -118.49504875)"
16,4-233,270,-118.49138441,34.00825886,"(34.00825886, -118.49138441)"
17,4-253,90,-118.49208133,34.00755991,"(34.00755991, -118.49208133)"
18,4-301,0,-118.49164509,34.007441,"(34.00744100, -118.49164509)"
19,4-227,58,-118.490348,34.00727331,"(34.00727331, -118.49034800)"
20,4-257,355,-118.49107629,34.00685126,"(34.00685126, -118.49107629)"
21,4-259,175,-118.49039407,34.00620378,"(34.00620378, -118.49039407)"
22,4-224,176,-118.48968279,34.00671091,"(34.00671091, -118.48968279)"
24,4-270,86,-118.48875465,34.00450742,"(34.00450742, -118.48875465)"
25,4-220,356,-118.487242,34.00434914,"(34.00434914, -118.48724200)"
26,4-274,86,-118.4879674,34.0037274,"(34.00372740, -118.48796740)"
28,4-287,353,-118.48812133,34.00281469,"(34.00281469, -118.48812133)"
29,4-284,352,-118.48734282,34.00243391,"(34.00243391, -118.48734282)"
30,4-213,356,-118.48605579,34.00329267,"(34.00329267, -118.48605579)"
31,4-210,355,-118.48553457,34.0027779,"(34.00277790, -118.48553457)"
32,4-207,176,-118.48511834,34.00236364,"(34.00236364, -118.48511834)"
33,4-282,3,-118.48675683,34.00178352,"(34.00178352, -118.48675683)"
34,4-279,353,-118.48636812,34.00138835,"(34.00138835, -118.48636812)"
45,1-87,4,-118.51165715,34.02968041,"(34.02968041, -118.51165715)"
46,1-80,182,-118.51132404,34.02778121,"(34.02778121, -118.51132404)"
47,1-135,184,-118.51007074,34.03129196,"(34.03129196, -118.51007074)"
48,1-53,281,-118.51041955,34.02516511,"(34.02516511, -118.51041955)"
49,2-57,270,-118.5035091,34.02271353,"(34.02271353, -118.50350910)"
50,2-69,90,-118.5025304,34.0235439,"(34.02354390, -118.50253040)"
51,2-81,90,-118.50156181,34.02429124,"(34.02429124, -118.50156181)"
54,2-55,360,-118.50246483,34.02093438,"(34.02093438, -118.50246483)"
55,2-59A,270,-118.50208077,34.02149905,"(34.02149905, -118.50208077)"
57,2-80,360,-118.50058017,34.02246309,"(34.02246309, -118.50058017)"
58,2-86,0,-118.49962834,34.02322846,"(34.02322846, -118.49962834)"
59,2-85,0,-118.49877124,34.02125483,"(34.02125483, -118.49877124)"
60,2-75,0,-118.49970802,34.02048064,"(34.02048064, -118.49970802)"
61,2-62,0,-118.50065586,34.0197166,"(34.01971660, -118.50065586)"
62,2-42,360,-118.50174812,34.01878452,"(34.01878452, -118.50174812)"
63,2-51,271,-118.5014557,34.01938009,"(34.01938009, -118.50145570)"
64,2-25B,90,-118.50342296,34.01890614,"(34.01890614, -118.50342296)"
65,2-21,90,-118.50121081,34.01701468,"(34.01701468, -118.50121081)"
66,2-19,90,-118.50086457,34.01664178,"(34.01664178, -118.50086457)"
67,2-158,0,-118.50051326,34.01715327,"(34.01715327, -118.50051326)"
68,2-159,269,-118.50015624,34.01741163,"(34.01741163, -118.50015624)"
69,2-154,180,-118.50039655,34.01762184,"(34.01762184, -118.50039655)"
70,3-80,269,-118.4994834,34.01683457,"(34.01683457, -118.49948340)"
71,2-150,180,-118.49944709,34.01839088,"(34.01839088, -118.49944709)"
72,2-161,270,-118.49920502,34.01817074,"(34.01817074, -118.49920502)"
74,2-146,180,-118.49850928,34.01916351,"(34.01916351, -118.49850928)"
75,2-137,180,-118.49755845,34.01989268,"(34.01989268, -118.49755845)"
76,2-164,270,-118.49778527,34.01939424,"(34.01939424, -118.49778527)"
77,2-133,180,-118.49661789,34.02065261,"(34.02065261, -118.49661789)"
90,3-59,180,-118.49413254,34.01216538,"(34.01216538, -118.49413254)"
91,4-199,90,-118.49363183,34.01052493,"(34.01052493, -118.49363183)"
93,4-193,270,-118.49277386,34.0118841,"(34.01188410, -118.49277386)"
94,4-202,90,-118.49249959,34.00956098,"(34.00956098, -118.49249959)"
96,4-150,90,-118.49170065,34.01124477,"(34.01124477, -118.49170065)"
98,4-155,61,-118.49006339,34.00964326,"(34.00964326, -118.49006339)"
101,4-15,0,-118.48887743,34.01251636,"(34.01251636, -118.48887743)"
102,4-17,354,-118.48781008,34.01312968,"(34.01312968, -118.48781008)"
103,4-13,90,-118.48943829,34.01167043,"(34.01167043, -118.48943829)"
104,4-32,90,-118.48850534,34.0108675,"(34.01086750, -118.48850534)"
122,4-44,356,-118.48599815,34.01034098,"(34.01034098, -118.48599815)"
123,4-132,86,-118.48488091,34.00588705,"(34.00588705, -118.48488091)"
124,4-133,85,-118.48409025,34.00510736,"(34.00510736, -118.48409025)"
125,4-135,85,-118.48311333,34.00412923,"(34.00412923, -118.48311333)"
126,4-179,266,-118.48398832,34.00345913,"(34.00345913, -118.48398832)"
127,4-181,265,-118.48499317,34.00446145,"(34.00446145, -118.48499317)"
129,4-185,86,-118.48486641,34.00342982,"(34.00342982, -118.48486641)"
131,4-170,86,-118.48657746,34.00500028,"(34.00500028, -118.48657746)"
132,4-128,86,-118.48566579,34.00666145,"(34.00666145, -118.48566579)"
133,4-168,86,-118.48731545,34.00573225,"(34.00573225, -118.48731545)"
134,4-165,86,-118.48816231,34.00656757,"(34.00656757, -118.48816231)"
137,4-141,356,-118.48742512,34.00811967,"(34.00811967, -118.48742512)"
138,4-120,356,-118.48743253,34.00940117,"(34.00940117, -118.48743253)"
140,4-161,85,-118.48949186,34.00788629,"(34.00788629, -118.48949186)"
141,4-156,60,-118.48980367,34.00868358,"(34.00868358, -118.48980367)"
158,1-140,261,-118.50819887,34.03217773,"(34.03217773, -118.50819887)"
159,1-137,260,-118.50872642,34.03285309,"(34.03285309, -118.50872642)"
160,1-175,21,-118.50797063,34.033811,"(34.03381100, -118.50797063)"
161,1-147,276,-118.50779229,34.03179115,"(34.03179115, -118.50779229)"
162,10-18,205,-118.50689667,34.03419166,"(34.03419166, -118.50689667)"
163,10-22,270,-118.50651328,34.03386466,"(34.03386466, -118.50651328)"
164,10-20,202,-118.50736732,34.0330477,"(34.03304770, -118.50736732)"
165,10-21,271,-118.50702428,34.03273474,"(34.03273474, -118.50702428)"
166,1-149A,0,-118.50673621,34.03121051,"(34.03121051, -118.50673621)"
167,10-36,14,-118.5061479,34.03192316,"(34.03192316, -118.50614790)"
168,10-75,270,-118.50447754,34.03297943,"(34.03297943, -118.50447754)"
169,10-40,31,-118.50512734,34.03420585,"(34.03420585, -118.50512734)"
170,10-73,270,-118.50391694,34.03323001,"(34.03323001, -118.50391694)"
171,10-23,270,-118.50615558,34.03513984,"(34.03513984, -118.50615558)"
172,10-15,267,-118.50755689,34.0349075,"(34.03490750, -118.50755689)"
173,10-13,211,-118.50652704,34.03536089,"(34.03536089, -118.50652704)"
174,10-12,294,-118.50723059,34.03558864,"(34.03558864, -118.50723059)"
175,10-8,261,-118.50718945,34.03648758,"(34.03648758, -118.50718945)"
176,10-3,201,-118.50610048,34.03671172,"(34.03671172, -118.50610048)"
184,10-86,360,-118.50234888,34.03220434,"(34.03220434, -118.50234888)"
185,10-79,0,-118.50328325,34.03144936,"(34.03144936, -118.50328325)"
186,10-76,0,-118.5042356,34.03067793,"(34.03067793, -118.50423560)"
187,1-151,272,-118.50646959,34.03065849,"(34.03065849, -118.50646959)"
188,10-125,360,-118.50271839,34.02937669,"(34.02937669, -118.50271839)"
189,10-120,0,-118.50177867,34.03014353,"(34.03014353, -118.50177867)"
190,10-117,270,-118.50098441,34.03072792,"(34.03072792, -118.50098441)"
191,10-111,0,-118.50051231,34.03116854,"(34.03116854, -118.50051231)"
192,10-138,0,-118.49804359,34.02973367,"(34.02973367, -118.49804359)"
193,10-153A,90,-118.50055861,34.02974803,"(34.02974803, -118.50055861)"
194,10-131,180,-118.50009118,34.02833962,"(34.02833962, -118.50009118)"
195,10-122,270,-118.50099526,34.0291606,"(34.02916060, -118.50099526)"
196,2-91,270,-118.50082292,34.02513698,"(34.02513698, -118.50082292)"
197,9-3,0,-118.49931583,34.02609802,"(34.02609802, -118.49931583)"
198,10-126,180,-118.50081122,34.0277567,"(34.02775670, -118.50081122)"
199,9-17,1,-118.49836741,34.02686253,"(34.02686253, -118.49836741)"
200,9-35,0,-118.49744486,34.0276661,"(34.02766610, -118.49744486)"
201,9-53,360,-118.49647919,34.02839392,"(34.02839392, -118.49647919)"
206,8-20,180,-118.49102923,34.02250213,"(34.02250213, -118.49102923)"
207,9-51,180,-118.49188643,34.02448896,"(34.02448896, -118.49188643)"
208,9-26,0,-118.49404611,34.02507853,"(34.02507853, -118.49404611)"
209,9-16,0,-118.49497899,34.02431924,"(34.02431924, -118.49497899)"
210,9-19,180,-118.49283578,34.0237181,"(34.02371810, -118.49283578)"
211,8-26,180,-118.49196144,34.02174153,"(34.02174153, -118.49196144)"
212,9-28,0,-118.49608991,34.02606254,"(34.02606254, -118.49608991)"
213,9-42,360,-118.49525118,34.02683438,"(34.02683438, -118.49525118)"
214,9-7,360,-118.49708733,34.02525229,"(34.02525229, -118.49708733)"
215,2-109,0,-118.49801339,34.02449402,"(34.02449402, -118.49801339)"
216,2-101,0,-118.49868672,34.02400086,"(34.02400086, -118.49868672)"
217,2-111,0,-118.49691047,34.02281773,"(34.02281773, -118.49691047)"
218,2-100,0,-118.49786019,34.02204388,"(34.02204388, -118.49786019)"
219,9-2,360,-118.49592815,34.02354644,"(34.02354644, -118.49592815)"
220,2-129,180,-118.49566563,34.02142591,"(34.02142591, -118.49566563)"
221,9-1,180,-118.49472135,34.02219465,"(34.02219465, -118.49472135)"
222,9-15,180,-118.49377954,34.02295367,"(34.02295367, -118.49377954)"
223,8-29,270,-118.49244003,34.02112797,"(34.02112797, -118.49244003)"
229,8-60,180,-118.48946088,34.0211657,"(34.02116570, -118.48946088)"
230,8-36,360,-118.48928812,34.02103539,"(34.02103539, -118.48928812)"
231,8-65,180,-118.49039992,34.02040513,"(34.02040513, -118.49039992)"
233,8-73,0,-118.48772103,34.01969603,"(34.01969603, -118.48772103)"
234,8-39,360,-118.48856457,34.02162848,"(34.02162848, -118.48856457)"
235,8-33,0,-118.49045421,34.02009303,"(34.02009303, -118.49045421)"
236,8-30,0,-118.49139818,34.01932593,"(34.01932593, -118.49139818)"
237,8-98,180,-118.48631444,34.01849695,"(34.01849695, -118.48631444)"
238,8-102,180,-118.48726523,34.01772879,"(34.01772879, -118.48726523)"
239,8-67,0,-118.48961864,34.01816288,"(34.01816288, -118.48961864)"
241,8-70,90,-118.48870217,34.01895943,"(34.01895943, -118.48870217)"
242,4-1,90,-118.48810544,34.01525605,"(34.01525605, -118.48810544)"
243,4-2,90,-118.48727617,34.01454787,"(34.01454787, -118.48727617)"
244,7-72,180,-118.4846214,34.01665351,"(34.01665351, -118.48462140)"
247,7-48,90,-118.48640295,34.01540682,"(34.01540682, -118.48640295)"
248,7-49,90,-118.48718141,34.01603937,"(34.01603937, -118.48718141)"
249,4-19,360,-118.48671507,34.01379891,"(34.01379891, -118.48671507)"
250,7-1,345,-118.48576706,34.0143462,"(34.01434620, -118.48576706)"
265,4-27,180,-118.48566853,34.01319921,"(34.01319921, -118.48566853)"
266,7-2A,0,-118.48483471,34.01366181,"(34.01366181, -118.48483471)"
267,7-39,180,-118.48465652,34.01398176,"(34.01398176, -118.48465652)"
268,7-36,90,-118.48295991,34.01246899,"(34.01246899, -118.48295991)"
182,4-41,264,-118.48502688,34.01098431,"(34.01098431, -118.48502688)"
270,7-5A,1,-118.48224373,34.01145525,"(34.01145525, -118.48224373)"
271,7-31,350,-118.4818369,34.01161175,"(34.01161175, -118.48183690)"
272,7-4,348,-118.48310107,34.01205955,"(34.01205955, -118.48310107)"
273,7-139,348,-118.48184715,34.01273223,"(34.01273223, -118.48184715)"
274,7-29,2,-118.48103356,34.01094,"(34.01094000, -118.48103356)"
275,7-24,349,-118.48019505,34.01028904,"(34.01028904, -118.48019505)"
276,7-6A,169,-118.48085065,34.01030667,"(34.01030667, -118.48085065)"
277,7-5B,350,-118.48142063,34.0108116,"(34.01081160, -118.48142063)"
814,7-23,171,-118.47942669,34.0097311,"(34.00973110, -118.47942669)"
279,7-7B,351,-118.48002612,34.00964028,"(34.00964028, -118.48002612)"
280,7-11,351,-118.4792925,34.00906335,"(34.00906335, -118.47929250)"
281,7-17,3,-118.47856457,34.00891772,"(34.00891772, -118.47856457)"
282,7-15A,352,-118.47859396,34.0085016,"(34.00850160, -118.47859396)"
283,6-2,182,-118.47799223,34.0080188,"(34.00801880, -118.47799223)"
284,6-59,351,-118.47772318,34.00830481,"(34.00830481, -118.47772318)"
285,6-60,350,-118.47676993,34.00886378,"(34.00886378, -118.47676993)"
286,7-243,350,-118.47576762,34.01056422,"(34.01056422, -118.47576762)"
287,7-250,351,-118.47729739,34.00967321,"(34.00967321, -118.47729739)"
288,7-216,171,-118.4780804,34.01051021,"(34.01051021, -118.47808040)"
289,7-222,171,-118.47654178,34.01141001,"(34.01141001, -118.47654178)"
290,7-205,266,-118.47753797,34.01204095,"(34.01204095, -118.47753797)"
291,7-186,171,-118.47926017,34.01152921,"(34.01152921, -118.47926017)"
292,7-173,170,-118.47999616,34.01224423,"(34.01224423, -118.47999616)"
293,7-176,266,-118.47827152,34.0127064,"(34.01270640, -118.47827152)"
294,7-164,266,-118.47900309,34.01349275,"(34.01349275, -118.47900309)"
295,7-136,78,-118.48014342,34.01388736,"(34.01388736, -118.48014342)"
296,7-142,348,-118.48090946,34.01327014,"(34.01327014, -118.48090946)"
297,7-120,181,-118.4837315,34.01473118,"(34.01473118, -118.48373150)"
298,7-116,180,-118.48282032,34.01547072,"(34.01547072, -118.48282032)"
299,7-111A,0,-118.48197222,34.01596827,"(34.01596827, -118.48197222)"
314,6-56,351,-118.47683067,34.00770803,"(34.00770803, -118.47683067)"
315,6-75,356,-118.47585824,34.00827284,"(34.00827284, -118.47585824)"
316,6-74A,355,-118.47519877,34.00865699,"(34.00865699, -118.47519877)"
317,6-60B,355,-118.4757722,34.00944131,"(34.00944131, -118.47577220)"
318,6-67,356,-118.47504685,34.00986139,"(34.00986139, -118.47504685)"
319,6-79,355,-118.47383718,34.00827453,"(34.00827453, -118.47383718)"
320,6-87,81,-118.4730345,34.00775566,"(34.00775566, -118.47303450)"
321,6-76,355,-118.47518451,34.00750195,"(34.00750195, -118.47518451)"
322,6-98,175,-118.4736435,34.00638816,"(34.00638816, -118.47364350)"
324,6-45,355,-118.47335683,34.00494384,"(34.00494384, -118.47335683)"
325,6-99,81,-118.47153129,34.00625253,"(34.00625253, -118.47153129)"
326,6-160,80,-118.47012078,34.00592545,"(34.00592545, -118.47012078)"
327,6-162,81,-118.46973091,34.0055176,"(34.00551760, -118.46973091)"
328,6-132,351,-118.46889301,34.00438527,"(34.00438527, -118.46889301)"
330,6-26,349,-118.47029856,34.00275715,"(34.00275715, -118.47029856)"
331,6-122,351,-118.47088048,34.00322373,"(34.00322373, -118.47088048)"
332,6-117,260,-118.47044826,34.00480371,"(34.00480371, -118.47044826)"
334,6-36,350,-118.47177216,34.00378667,"(34.00378667, -118.47177216)"
335,6-11,176,-118.47279595,34.0040544,"(34.00405440, -118.47279595)"
336,6-7F,175,-118.47418529,34.00509048,"(34.00509048, -118.47418529)"
337,6-7E,355,-118.47484985,34.00559452,"(34.00559452, -118.47484985)"
338,6-50,171,-118.47455254,34.00585992,"(34.00585992, -118.47455254)"
339,6-54,351,-118.47605284,34.00699622,"(34.00699622, -118.47605284)"
340,6-48A,274,-118.475589,34.00620811,"(34.00620811, -118.47558900)"
360,6-130,171,-118.46814233,34.00410127,"(34.00410127, -118.46814233)"
361,6-129,351,-118.46923693,34.00333835,"(34.00333835, -118.46923693)"
362,10-24,90,-118.50565217,34.03655424,"(34.03655424, -118.50565217)"
363,10-29,90,-118.50487827,34.03589682,"(34.03589682, -118.50487827)"
364,10-2,207,-118.50572653,34.03780893,"(34.03780893, -118.50572653)"
365,10-1,188,-118.50500938,34.0389662,"(34.03896620, -118.50500938)"
366,10-26,0,-118.5054028,34.03762422,"(34.03762422, -118.50540280)"
367,10-28,0,-118.50478004,34.03864833,"(34.03864833, -118.50478004)"
368,11-31,90,-118.50372459,34.03963235,"(34.03963235, -118.50372459)"
369,10-47,30,-118.50434629,34.03668813,"(34.03668813, -118.50434629)"
370,10-50,19,-118.50384273,34.03783899,"(34.03783899, -118.50384273)"
371,10-70,180,-118.50292003,34.03427208,"(34.03427208, -118.50292003)"
372,10-54,270,-118.50303182,34.0364891,"(34.03648910, -118.50303182)"
373,10-65,181,-118.50196093,34.03504717,"(34.03504717, -118.50196093)"
374,11-86,0,-118.503056,34.03872057,"(34.03872057, -118.50305600)"
375,10-60,180,-118.50102762,34.03580876,"(34.03580876, -118.50102762)"
376,11-131,90,-118.50014985,34.03657892,"(34.03657892, -118.50014985)"
377,11-124,180,-118.4991654,34.0373711,"(34.03737110, -118.49916540)"
378,11-24,179,-118.50399566,34.0399418,"(34.03994180, -118.50399566)"
379,11-89,90,-118.50153514,34.03776141,"(34.03776141, -118.50153514)"
380,11-82,360,-118.50211807,34.03950844,"(34.03950844, -118.50211807)"
381,11-77,0,-118.5011644,34.04025274,"(34.04025274, -118.50116440)"
385,11-138,0,-118.49752046,34.03595957,"(34.03595957, -118.49752046)"
386,10-97,360,-118.4995058,34.03450942,"(34.03450942, -118.49950580)"
387,11-134,359,-118.49855962,34.03527796,"(34.03527796, -118.49855962)"
388,10-90,1,-118.50139159,34.03298183,"(34.03298183, -118.50139159)"
389,10-108,0,-118.49956831,34.03193124,"(34.03193124, -118.49956831)"
391,10-103,90,-118.49760187,34.0335431,"(34.03354310, -118.49760187)"
392,10-143,360,-118.4961498,34.03126952,"(34.03126952, -118.49614980)"
393,11-165,1,-118.49670158,34.03421209,"(34.03421209, -118.49670158)"
395,11-224,180,-118.49419885,34.03311483,"(34.03311483, -118.49419885)"
396,10-141,0,-118.49709969,34.03049999,"(34.03049999, -118.49709969)"
397,9-79,0,-118.49553121,34.02916368,"(34.02916368, -118.49553121)"
398,9-82,360,-118.49458265,34.02993013,"(34.02993013, -118.49458265)"
399,11-226,360,-118.4952007,34.03203632,"(34.03203632, -118.49520070)"
400,12-1,360,-118.49363968,34.03069578,"(34.03069578, -118.49363968)"
401,12-4,360,-118.49269513,34.0314607,"(34.03146070, -118.49269513)"
402,12-9,0,-118.49174888,34.03222687,"(34.03222687, -118.49174888)"
410,9-57,0,-118.49432256,34.02758696,"(34.02758696, -118.49432256)"
411,9-76,360,-118.49328176,34.02833326,"(34.02833326, -118.49328176)"
412,9-88,0,-118.49243229,34.02911598,"(34.02911598, -118.49243229)"
413,12-61,0,-118.4914235,34.02983487,"(34.02983487, -118.49142350)"
414,12-59,0,-118.49054224,34.03064539,"(34.03064539, -118.49054224)"
415,9-52,360,-118.49308425,34.0258538,"(34.02585380, -118.49308425)"
416,9-74,360,-118.4921402,34.02661843,"(34.02661843, -118.49214020)"
417,9-66,180,-118.49096782,34.0252346,"(34.02523460, -118.49096782)"
418,8-15,180,-118.49007684,34.02326772,"(34.02326772, -118.49007684)"
419,8-10,180,-118.48911986,34.02404287,"(34.02404287, -118.48911986)"
420,9-67,180,-118.49004822,34.02597478,"(34.02597478, -118.49004822)"
421,9-91,360,-118.49118692,34.02739023,"(34.02739023, -118.49118692)"
422,12-139,180,-118.48905467,34.02678827,"(34.02678827, -118.48905467)"
423,8-5,180,-118.48818534,34.02479966,"(34.02479966, -118.48818534)"
424,12-68,360,-118.49025275,34.028149,"(34.02814900, -118.49025275)"
425,12-72,360,-118.48931045,34.02891407,"(34.02891407, -118.48931045)"
426,12-136,90,-118.48784144,34.02774958,"(34.02774958, -118.48784144)"
427,13-41,180,-118.48723519,34.02556923,"(34.02556923, -118.48723519)"
443,13-49,359,-118.48383237,34.02545736,"(34.02545736, -118.48383237)"
444,13-85,180,-118.48471909,34.02500603,"(34.02500603, -118.48471909)"
445,13-45,0,-118.48477306,34.02469567,"(34.02469567, -118.48477306)"
446,13-88,180,-118.48567146,34.02423846,"(34.02423846, -118.48567146)"
447,13-42,0,-118.4855083,34.02410233,"(34.02410233, -118.48550830)"
448,8-52,180,-118.48661171,34.02346952,"(34.02346952, -118.48661171)"
449,8-47,0,-118.48645263,34.02333187,"(34.02333187, -118.48645263)"
450,8-81,0,-118.48488649,34.02199554,"(34.02199554, -118.48488649)"
451,8-58,180,-118.48850885,34.02193492,"(34.02193492, -118.48850885)"
452,13-91,0,-118.48299644,34.02353001,"(34.02353001, -118.48299644)"
453,13-137,180,-118.48159627,34.02232566,"(34.02232566, -118.48159627)"
454,13-139,180,-118.48253983,34.02155773,"(34.02155773, -118.48253983)"
455,13-140,180,-118.48275101,34.02139011,"(34.02139011, -118.48275101)"
456,8-89,180,-118.48348138,34.02079523,"(34.02079523, -118.48348138)"
457,8-93,180,-118.48442608,34.02003208,"(34.02003208, -118.48442608)"
458,8-95,90,-118.48534985,34.01928397,"(34.01928397, -118.48534985)"
459,8-75,0,-118.48678074,34.02046334,"(34.02046334, -118.48678074)"
460,8-77,0,-118.48583431,34.02122985,"(34.02122985, -118.48583431)"
461,14-41,90,-118.47948901,34.0202577,"(34.02025770, -118.47948901)"
462,7-83,0,-118.48314761,34.01730604,"(34.01730604, -118.48314761)"
463,7-64,180,-118.48350447,34.01760746,"(34.01760746, -118.48350447)"
464,7-85,0,-118.48235377,34.01795055,"(34.01795055, -118.48235377)"
465,7-62,180,-118.48273183,34.01818873,"(34.01818873, -118.48273183)"
466,14-32,0,-118.48047392,34.01947673,"(34.01947673, -118.48047392)"
467,7-90,0,-118.48126044,34.01883819,"(34.01883819, -118.48126044)"
468,14-31,180,-118.4808778,34.01964878,"(34.01964878, -118.48087780)"
469,7-57,180,-118.48158887,34.01912137,"(34.01912137, -118.48158887)"
470,7-50,90,-118.48242815,34.02057373,"(34.02057373, -118.48242815)"
490,7-237,261,-118.47242721,34.01247104,"(34.01247104, -118.47242721)"
491,7-235,261,-118.47307302,34.0131313,"(34.01313130, -118.47307302)"
494,7-239,261,-118.47404814,34.01151306,"(34.01151306, -118.47404814)"
495,7-227,261,-118.47472251,34.01217664,"(34.01217664, -118.47472251)"
496,7-203,260,-118.4755255,34.01296382,"(34.01296382, -118.47552550)"
497,7-190,261,-118.4762006,34.01363076,"(34.01363076, -118.47620060)"
498,7-160,261,-118.47707561,34.01448778,"(34.01448778, -118.47707561)"
499,7-154,358,-118.47594035,34.01582045,"(34.01582045, -118.47594035)"
500,7-149,356,-118.47767659,34.01498946,"(34.01498946, -118.47767659)"
501,7-148,356,-118.47848907,34.01455338,"(34.01455338, -118.47848907)"
502,7-146,355,-118.47926377,34.01414211,"(34.01414211, -118.47926377)"
503,7-110,180,-118.48183953,34.01626391,"(34.01626391, -118.48183953)"
504,7-103,180,-118.48090129,34.01702388,"(34.01702388, -118.48090129)"
505,7-97,180,-118.47995413,34.01778708,"(34.01778708, -118.47995413)"
506,14-115,180,-118.4792747,34.01833867,"(34.01833867, -118.47927470)"
507,14-104,360,-118.47817713,34.01904018,"(34.01904018, -118.47817713)"
